index,Better,Worse,label
163,frames/ChopstickUsing/G1,frames/ChopstickUsing/G5,1
230,frames/Knot_Tying/I001,frames/Knot_Tying/I002,1
334,frames/Knot_Tying/D005,frames/Knot_Tying/G004,1
97,frames/ChopstickUsing/C5,frames/ChopstickUsing/G5,1
65,frames/DoughRolling/S35,frames/DoughRolling/S40,0
32,frames/Needle_Passing/I003,frames/Needle_Passing/D001,1
331,frames/Suturing/C003,frames/Suturing/I004,1
362,frames/Knot_Tying/F002,frames/Knot_Tying/G004,1
124,frames/ChopstickUsing/D4,frames/ChopstickUsing/F3,1
112,frames/Needle_Passing/I004,frames/Needle_Passing/D001,1
11,frames/DoughRolling/S40,frames/DoughRolling/S51,1
60,frames/Needle_Passing/I005,frames/Needle_Passing/I003,1
108,frames/ChopstickUsing/H3,frames/ChopstickUsing/C5,1
8,frames/Needle_Passing/H005,frames/Needle_Passing/I002,1
158,frames/ChopstickUsing/B1,frames/ChopstickUsing/B5,1
105,frames/ChopstickUsing/H3,frames/ChopstickUsing/H1,1
225,frames/ChopstickUsing/E3,frames/ChopstickUsing/E2,1
85,frames/ChopstickUsing/B1,frames/ChopstickUsing/G4,1
236,frames/ChopstickUsing/D3,frames/ChopstickUsing/A4,1
92,frames/Knot_Tying/D005,frames/Knot_Tying/F003,1
119,frames/Needle_Passing/I003,frames/Needle_Passing/D003,1
196,frames/Knot_Tying/C003,frames/Knot_Tying/D002,1
215,frames/Needle_Passing/I004,frames/Needle_Passing/I002,1
324,frames/Knot_Tying/F002,frames/Knot_Tying/F003,1
146,frames/ChopstickUsing/H4,frames/ChopstickUsing/A2,1
268,frames/ChopstickUsing/D3,frames/ChopstickUsing/E4,1
204,frames/Suturing/F002,frames/Suturing/C002,1
34,frames/ChopstickUsing/D4,frames/ChopstickUsing/B3,1
255,frames/Suturing/C005,frames/Suturing/B004,1
258,frames/Knot_Tying/C001,frames/Knot_Tying/E004,1
323,frames/Suturing/H004,frames/Suturing/B001,1
283,frames/ChopstickUsing/D1,frames/ChopstickUsing/C2,1
14,frames/HandDrawing/E4,frames/HandDrawing/F3,1
278,frames/ChopstickUsing/C1,frames/ChopstickUsing/G2,1
